taskId,userId,text,date,assignedMinutes,actualMinutes,estimatedMinutes,deadline,eacDate,completed,labelId,labelName,labelColor
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-16,0,20,240,2025-10-21T05:40:00.000Z,2025-10-20,false,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-18,0,30,240,2025-10-21T05:40:00.000Z,2025-10-20,false,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-19,0,90,240,2025-10-21T05:40:00.000Z,2025-10-20,false,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-20,0,120,240,2025-10-21T05:40:00.000Z,2025-10-20,false,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
B0v5nFlSUvYd5XaW2TZS,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-16,0,90,90,2025-10-10T01:30:00.000Z,2025-10-16,true,,,
CO9cj1u2K7OiCtYPhYif,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week5,2025-10-16,0,90,90,2025-10-14T09:00:00.000Z,2025-10-16,true,,,
JAYSPpgpnUwkdca49rTZ,DgApBqtxpeVE5G5MnIVw9ThpyN93,Planned vs Actualのバグ修正,2025-10-15,0,180,180,2025-10-14T07:10:00.000Z,2025-10-15,true,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
JqO4tRtNjj47sPW7FrWw,DgApBqtxpeVE5G5MnIVw9ThpyN93,基本情報合計200時間勉強する,2025-10-14,0,60,12000,2025-12-31T09:00:00.000Z,2026-05-07,false,ugTjN6j5Cfo45y06nYe4,生活,#2196f3
LZcCtTroo4OcXLOZCSjS,DgApBqtxpeVE5G5MnIVw9ThpyN93,リストのフィルター機能を復活させる,2025-10-20,54,15,60,2025-10-13T09:00:00.000Z,2025-10-20,true,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
LZcCtTroo4OcXLOZCSjS,DgApBqtxpeVE5G5MnIVw9ThpyN93,リストのフィルター機能を復活させる,2025-10-19,0,30,60,2025-10-13T09:00:00.000Z,2025-10-20,true,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
LZcCtTroo4OcXLOZCSjS,DgApBqtxpeVE5G5MnIVw9ThpyN93,リストのフィルター機能を復活させる,2025-10-18,54,15,60,2025-10-13T09:00:00.000Z,2025-10-20,true,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
RiDx2TC0viLa01JSx8vn,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week6,2025-10-21,0,90,90,2025-10-21T09:00:00.000Z,2025-10-21,true,,,
rEH4wQZJxAggfr17y4MM,DgApBqtxpeVE5G5MnIVw9ThpyN93,フロントエンドでのアップデート履歴の表示,2025-10-21,0,120,120,2025-10-28T03:55:00.000Z,2025-10-21,true,XGuadf3bqtsZGJ7i6vY8,開発関連,#f32020
t67CTTnxu3RQ9H4tG0MY,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,物品検査,2025-10-21,0,180,180,2025-10-22T04:58:00.000Z,2025-10-21,true,,,
