taskId,userId,text,createdAt,deadline,estimatedMinutes,actualTotalMinutes,completed,labelId,priority,idealProgress,actualProgress,pace7d,paceExp,requiredPace,requiredPaceAdj,spi,spi7d,spiExp,spiAdj,eacDate,riskLevel,labelName,labelColor
53EIH4uY2PeAUhQgrVkk,DgApBqtxpeVE5G5MnIVw9ThpyN93,中間発表の資料を完成させる,2025-10-19T20:23:50.112Z,2025-10-21T05:40:00.000Z,240,260,false,XGuadf3bqtsZGJ7i6vY8,,0.5,1,37.1,119.9,0,0,1,1,1,1,2025-10-20,ok,開発関連,#f32020
5NHkI2KZn1oWspLbrLVE,DgApBqtxpeVE5G5MnIVw9ThpyN93,日本学生支援機構採否通知配布,2025-10-12T16:52:46.031Z,2025-10-16T02:40:00.000Z,60,0,false,G9VBLEmLJBqVBeLaCpdc,,1,0,,,60,54,0,0,0,0,166300-03-24,warn,大学関連,#11e41f
7N1lKCEGi56xab8xDS1i,EyQHdJounoeN8h11wqvbDmuNK2j2,卒研発表,2025-09-23T06:17:07.038Z,2026-01-26T03:00:00.000Z,10,0,false,8ok89dIHBxNSI9HpEBKW,3,,,,,,,,,,,,,重要,#607c8a
8EG6pfoqRVbf5f1AEiFQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week7,2025-10-01T07:06:22.893Z,2025-10-28T01:30:00.000Z,90,0,false,,2,,,,,4.3,3.9,0,0,0,0,248437-05-25,warn,,
8oAxKzrYkvwqxEfsZHA9,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,sadoku要件整理,2025-10-20T08:54:31.603Z,2025-10-22T09:00:00.000Z,30,0,false,,,0.33,0,,,10,9,0,0,0,0,84163-01-05,warn,,
B0v5nFlSUvYd5XaW2TZS,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,proglang-saiten,2025-10-01T07:07:25.732Z,2025-10-10T01:30:00.000Z,90,90,true,,2,1,1,90,89.9,,,1,1,1,1,2025-10-16,ok,,
CO9cj1u2K7OiCtYPhYif,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week5,2025-10-01T07:06:00.766Z,2025-10-14T09:00:00.000Z,90,90,true,,2,1,1,90,89.9,,,1,1,1,1,2025-10-16,ok,,
DDGFretF50fqyBt7QTDJ,Y8guHqhoS2XRWkxAJMSr6fqzmVD3,抹茶ラテ飲む,2025-09-22T08:01:46.969Z,2025-09-22T10:00:00.000Z,60,0,false,,2,,,,,,,,,,,,,,
FwUMLGt4n0BTb9O92tdy,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,week4,2025-10-01T07:05:17.185Z,2025-10-07T09:00:00.000Z,90,0,true,,2,,,,,90,81,0,0,0,0,248437-05-25,warn,,
GdpMP4ygx3WGv0E4ehQQ,Z9IYVixbY7QYdNBlmHkyIUEXMAI2,進路聞く,2025-10-09T02:11:52.347Z,2025-10-21T04:00:00.000Z,90,0,false,,,,,,,6.9,6.2,0,0,0,0,248437-05-27,warn,,
Hl98sMKpboHMI74D2UWP,EyQHdJounoeN8h11wqvbDmuNK2j2,大学,2025-09-23T05:53:32.579Z,2025-09-29T03:55:00.000Z,90,0,false,,2,,,,,,,,,,,,,,
