__docPath,__docId,O,P,T_req_min,actualLogs,actualProgress,actualTotalMinutes,assigned,assignedMinutes,calcMeta,completed,completedAt,createdAt,dailyAssignments,dailyPlanGeneratedAt,dailyProgress,deadline,deleted,deletedAt,eacDate,estimatedMinutes,explain,idealProgress,labelId,lastProgressAt,latestStart,latestStartIso,morningSummaryLastDate,morningSummaryNotified,morningSummaryNotifiedAt,notified,pace7d,paceExp,plannedStart,priority,requiredPace,requiredPaceAdj,riskLevel,scale,spi,spi7d,spiAdj,spiExp,startRecommend,startRecommendIso,statsUpdatedAt,text,unallocatedMinutes,userId
todos/1fQSP4olWNYjyj9ztsIa,1fQSP4olWNYjyj9ztsIa,,,,"{""2025-12-02"":30}",1,30,,,,false,,2025-12-02T09:34:45.736Z,[],,{},2025-12-24T11:00:00.000Z,,,2025-12-02,30,,0.04,2PP9tmLCovl7LryT1qNW,2025-12-02T09:35:22.235Z,,,,false,,,30,29.9,2025-12-02T00:00:00.000Z,,0,0,,,1,1,1,1,,,2025-12-02T09:35:31.845Z,研究,,qEvovKzp9yTvyfV3IGR9OUERHbk1
todos/53EIH4uY2PeAUhQgrVkk,53EIH4uY2PeAUhQgrVkk,,,,"{""2025-10-16"":20,""2025-10-18"":30,""2025-10-19"":90,""2025-10-20"":120}",1,260,,,,true,2025-10-21T04:18:10.444Z,2025-10-19T20:23:50.112Z,[],,{},2025-10-21T05:40:00.000Z,,,2025-10-21,240,,1,XGuadf3bqtsZGJ7i6vY8,,,,,false,,,37.1,0.1,,,0,0,ok,,1,1,1,1,,,2025-10-21T04:18:21.105Z,中間発表の資料を完成させる,,DgApBqtxpeVE5G5MnIVw9ThpyN93
todos/5KxoVTiwYbl1q6tepu0D,5KxoVTiwYbl1q6tepu0D,,,,"{""2025-11-12"":70,""2025-11-17"":20}",1,90,,,,true,2025-11-17T08:42:09.482Z,2025-11-12T04:40:06.189Z,[],,{},2025-11-13T09:00:00.000Z,,,2025-11-17,90,,1,,,,,,false,,,45,20.1,,,0,0,ok,,1,1,1,1,,,2025-11-17T08:42:27.006Z,締め切りヤバイ,,Z9IYVixbY7QYdNBlmHkyIUEXMAI2
todos/5NHkI2KZn1oWspLbrLVE,5NHkI2KZn1oWspLbrLVE,,,,"{""2025-10-21"":60}",1,60,"{""2025-10-13"":14,""2025-10-14"":27,""2025-10-15"":54,""2025-10-16"":54,""2025-10-17"":54,""2025-10-18"":54,""2025-10-20"":54,""2025-10-21"":54}",,,true,2025-10-21T04:18:02.857Z,2025-10-12T16:52:46.031Z,[],,{},2025-10-16T02:40:00.000Z,,,2025-10-21,60,,1,G9VBLEmLJBqVBeLaCpdc,2025-10-21T04:16:47.071Z,,,,false,,,60,59.9,,,0,0,ok,,1,1,1,1,,,2025-10-21T04:17:14.660Z,日本学生支援機構採否通知配布,,DgApBqtxpeVE5G5MnIVw9ThpyN93
todos/6tpDKogygJliGHVcRuhS,6tpDKogygJliGHVcRuhS,,,,"{""2025-11-27"":10,""2025-11-28"":5,""2025-12-17"":15}",1,30,"{""2025-12-02"":14,""2025-12-09"":14,""2025-12-06"":14,""2025-11-26"":14,""2025-11-30"":14,""2025-12-01"":14,""2025-12-05"":14,""2025-11-27"":14,""2025-11-29"":14,""2025-12-04"":14,""2025-12-03"":14,""2025-11-28"":14,""2025-12-08"":14,""2025-12-07"":14,""2025-12-16"":14}",,,true,2025-12-17T04:25:42.393Z,2025-11-26T07:37:08.276Z,[],,{},2025-11-28T09:00:00.000Z,,,2025-12-17,30,,1,,,,,,false,,,15,14.9,,,0,0,,,1,1,1,1,,,2025-12-17T04:25:58.318Z,common,,Z9IYVixbY7QYdNBlmHkyIUEXMAI2
todos/7N1lKCEGi56xab8xDS1i,7N1lKCEGi56xab8xDS1i,5,15,12,,,,,,"{""variant"":""modifiedPERT"",""riskMode"":""mean"",""O"":5,""M"":10,""P"":15,""w"":1,""sigma"":1.6666666666666667,""TEw"":10,""kSigma"":0,""bufferRate"":0,""pf"":1.15,""inputFingerprint"":""{\""deadline\"":{\""_seconds\"":1769396400,\""_nanoseconds\"":0},\""deadlineIso\"":\""2026-01-26T03:00:00.000Z\"",\""deadlineISO\"":null,\""estimatedMinutes\"":10,\""E\"":null,\""w\"":null,\""pertWeight\"":null,\""scale\"":1,\""importance\"":null,\""priority\"":3,\""buffer\"":null,\""bufferRate\"":null,\""bufferRate_input\"":null,\""riskMode\"":null,\""algoVariant\"":null,\""O\"":5,\""M\"":null,\""P\"":15,\""userId\"":\""EyQHdJounoeN8h11wqvbDmuNK2j2\""}"",""updatedAt"":""2025-09-23T06:17:07.724Z""}",false,,2025-09-23T06:17:07.038Z,,,,2026-01-26T03:00:00.000Z,,,,10,"{""variant"":""modifiedPERT"",""riskMode"":""mean"",""O"":5,""M"":10,""P"":15,""w"":1,""sigma"":1.6666666666666667,""TEw"":10,""kSigma"":0,""bufferRate"":0,""pf"":1.15}",,8ok89dIHBxNSI9HpEBKW,,2026-01-26T02:48:00.000Z,2026-01-26T02:48:00.000Z,,,,false,,,,3,,,,1,,,,,2026-01-26T02:48:00.000Z,2026-01-26T02:48:00.000Z,,卒研発表,,EyQHdJounoeN8h11wqvbDmuNK2j2
todos/8EG6pfoqRVbf5f1AEiFQ,8EG6pfoqRVbf5f1AEiFQ,,,,"{""2025-10-22"":30,""2025-11-06"":60}",1,90,,,,true,2025-11-06T01:30:54.495Z,2025-10-01T07:06:22.893Z,,,,2025-10-28T01:30:00.000Z,,,2025-11-06,90,,1,,,,,,,,false,60,59.9,,2,0,0,ok,3,1,1,1,1,,,2025-11-06T01:31:19.260Z,week7,,Z9IYVixbY7QYdNBlmHkyIUEXMAI2
todos/8oAxKzrYkvwqxEfsZHA9,8oAxKzrYkvwqxEfsZHA9,,,,"{""2025-10-21"":15,""2025-11-17"":15}",1,30,,,,true,2025-11-17T08:42:22.296Z,2025-10-20T08:54:31.603Z,[],,{},2025-10-22T09:00:00.000Z,,,2025-11-17,30,,1,,,,,,false,,,15,14.9,,,0,0,ok,,1,1,1,1,,,2025-11-17T08:42:22.952Z,sadoku要件整理,,Z9IYVixbY7QYdNBlmHkyIUEXMAI2
todos/9C4W0XuzGdszlPaCuvAA,9C4W0XuzGdszlPaCuvAA,,,,,0,0,,,,false,,2025-11-24T06:56:29.538Z,[],,{},2025-12-05T09:00:00.000Z,true,2025-11-24T07:09:48.593Z,248437-07-12,90,,0.08,,,,,,false,,,,,,,7.5,6.8,late,,0,0,0,0,,,2025-11-24T06:56:33.110Z,ｔ２,,DgApBqtxpeVE5G5MnIVw9ThpyN93
todos/9d6jmVN2gsZSQOtbzFpw,9d6jmVN2gsZSQOtbzFpw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,2025-11-25T04:21:01.424Z,,,
