__docPath,__docId,after,before,changedFields,context,createdAt
todos/OBRscVWDrP6T2dgGwzRM/history/0Y7JufII8YRzrJzBZwOY,0Y7JufII8YRzrJzBZwOY,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""morningSummaryNotified"":false,""spiExp"":1,""dailyPlanGeneratedAt"":"""",""morningSummaryNotifiedAt"":"""",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""paceExp"":239.9,""lastProgressAt"":""2025-12-08T17:19:40.763Z"",""riskLevel"":"""",""estimatedMinutes"":240,""assignedMinutes"":"""",""completed"":true,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""requiredPaceAdj"":0,""spi"":1,""spi7d"":1,""actualTotalMinutes"":240,""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""createdAt"":""2025-12-03T15:50:02.051Z"",""dailyAssignments"":[],""spiAdj"":1,""dailyProgress"":{},""eacDate"":""2025-12-09"",""morningSummaryLastDate"":"""",""deadline"":""2025-12-09T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-08T17:19:51.893Z"",""requiredPace"":0,""idealProgress"":1,""pace7d"":240,""text"":""LinkedInラーニング"",""plannedStart"":"""",""actualLogs"":{""2025-12-09"":240},""unallocatedMinutes"":"""",""actualProgress"":1,""completedAt"":""2025-12-08T17:20:54.158Z""}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""morningSummaryNotified"":false,""spiExp"":1,""dailyPlanGeneratedAt"":"""",""morningSummaryNotifiedAt"":"""",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""paceExp"":239.9,""lastProgressAt"":""2025-12-08T17:19:40.763Z"",""riskLevel"":"""",""estimatedMinutes"":240,""assignedMinutes"":"""",""completed"":false,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""requiredPaceAdj"":0,""spi"":1,""spi7d"":1,""actualTotalMinutes"":240,""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""createdAt"":""2025-12-03T15:50:02.051Z"",""dailyAssignments"":[],""spiAdj"":1,""dailyProgress"":{},""eacDate"":""2025-12-09"",""morningSummaryLastDate"":"""",""deadline"":""2025-12-09T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-08T17:19:51.893Z"",""requiredPace"":0,""idealProgress"":1,""pace7d"":240,""text"":""LinkedInラーニング"",""plannedStart"":"""",""actualLogs"":{""2025-12-09"":240},""unallocatedMinutes"":"""",""actualProgress"":1}","[""completed"",""completedAt"",""actualTotalMinutes"",""actualLogs.2025-12-09""]",complete-todo,2025-12-08T17:20:54.158Z
todos/OBRscVWDrP6T2dgGwzRM/history/4rBtmruMsD9EIMlF1O2O,4rBtmruMsD9EIMlF1O2O,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""spiAdj"":1.67,""unallocatedMinutes"":"""",""riskLevel"":""late"",""requiredPaceAdj"":90,""assignedMinutes"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""spi7d"":1.67,""lastProgressAt"":""2025-12-08T17:31:16.496Z"",""requiredPace"":90,""spiExp"":1.67,""eacDate"":""2025-12-10"",""paceExp"":150.1,""estimatedMinutes"":240,""morningSummaryNotified"":false,""plannedStart"":"""",""completed"":false,""deadline"":""2025-12-09T09:00:00.000Z"",""actualLogs"":{""2025-12-09"":150},""completedAt"":"""",""morningSummaryLastDate"":"""",""actualTotalMinutes"":150,""idealProgress"":1,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":216},""pace7d"":150,""morningSummaryNotifiedAt"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""actualProgress"":0.63,""dailyProgress"":{},""text"":""LinkedInラーニング"",""statsUpdatedAt"":""2025-12-08T17:32:47.437Z"",""spi"":1.67,""dailyAssignments"":[]}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""spiAdj"":1.67,""unallocatedMinutes"":"""",""riskLevel"":""late"",""requiredPaceAdj"":90,""assignedMinutes"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""spi7d"":1.67,""lastProgressAt"":""2025-12-08T17:31:16.496Z"",""requiredPace"":90,""spiExp"":1.67,""eacDate"":""2025-12-10"",""paceExp"":150.1,""estimatedMinutes"":240,""morningSummaryNotified"":false,""plannedStart"":"""",""completed"":true,""deadline"":""2025-12-09T09:00:00.000Z"",""actualLogs"":{""2025-12-09"":150},""completedAt"":""2025-12-08T17:31:41.628Z"",""morningSummaryLastDate"":"""",""actualTotalMinutes"":150,""idealProgress"":1,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":216},""pace7d"":150,""morningSummaryNotifiedAt"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""actualProgress"":0.63,""dailyProgress"":{},""text"":""LinkedInラーニング"",""statsUpdatedAt"":""2025-12-08T17:32:47.437Z"",""spi"":1.67,""dailyAssignments"":[]}","[""completed"",""completedAt""]",undo-complete,2025-12-08T17:33:06.229Z
todos/OBRscVWDrP6T2dgGwzRM/history/9qMAqeTaFq3T42XMU3kJ,9qMAqeTaFq3T42XMU3kJ,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""spi"":1,""dailyProgress"":{},""createdAt"":""2025-12-03T15:50:02.051Z"",""paceExp"":239.9,""spiExp"":1,""estimatedMinutes"":240,""idealProgress"":1,""statsUpdatedAt"":""2025-12-08T17:42:58.091Z"",""deadline"":""2025-12-09T09:00:00.000Z"",""unallocatedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""morningSummaryLastDate"":"""",""actualTotalMinutes"":0,""pace7d"":240,""requiredPaceAdj"":0,""actualLogs"":{""2025-12-09"":0},""completed"":false,""dailyAssignments"":[],""spiAdj"":1,""riskLevel"":"""",""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""plannedStart"":"""",""assignedMinutes"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""eacDate"":""2025-12-09"",""completedAt"":""2025-12-08T17:42:30.680Z"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""spi7d"":1,""lastProgressAt"":""2025-12-08T17:34:03.326Z"",""actualProgress"":1,""requiredPace"":0,""text"":""LinkedInラーニング"",""morningSummaryNotified"":false}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""spi"":1,""dailyProgress"":{},""createdAt"":""2025-12-03T15:50:02.051Z"",""paceExp"":239.9,""spiExp"":1,""estimatedMinutes"":240,""idealProgress"":1,""statsUpdatedAt"":""2025-12-08T17:42:58.091Z"",""deadline"":""2025-12-09T09:00:00.000Z"",""unallocatedMinutes"":"""",""morningSummaryNotifiedAt"":"""",""morningSummaryLastDate"":"""",""actualTotalMinutes"":240,""pace7d"":240,""requiredPaceAdj"":0,""actualLogs"":{""2025-12-09"":240},""completed"":false,""dailyAssignments"":[],""spiAdj"":1,""riskLevel"":"""",""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""plannedStart"":"""",""assignedMinutes"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""eacDate"":""2025-12-09"",""completedAt"":""2025-12-08T17:42:30.680Z"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""spi7d"":1,""lastProgressAt"":""2025-12-08T17:34:03.326Z"",""actualProgress"":1,""requiredPace"":0,""text"":""LinkedInラーニング"",""morningSummaryNotified"":false}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T17:51:22.892Z
todos/OBRscVWDrP6T2dgGwzRM/history/9qScY9WWT8yeju9moUDc,9qScY9WWT8yeju9moUDc,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""spiExp"":1,""actualProgress"":1,""deadline"":""2025-12-09T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-08T17:58:51.080Z"",""estimatedMinutes"":240,""createdAt"":""2025-12-03T15:50:02.051Z"",""pace7d"":240,""assignedMinutes"":"""",""paceExp"":239.9,""spiAdj"":1,""spi"":1,""eacDate"":""2025-12-09"",""unallocatedMinutes"":"""",""actualLogs"":{""2025-12-09"":100},""riskLevel"":"""",""morningSummaryLastDate"":"""",""dailyPlanGeneratedAt"":"""",""actualTotalMinutes"":100,""completedAt"":""2025-12-08T17:42:30.680Z"",""idealProgress"":1,""requiredPaceAdj"":0,""dailyAssignments"":[],""requiredPace"":0,""lastProgressAt"":""2025-12-08T17:58:23.173Z"",""morningSummaryNotified"":false,""text"":""LinkedInラーニング"",""plannedStart"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spi7d"":1,""completed"":false,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""morningSummaryNotifiedAt"":"""",""minutes"":240}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""spiExp"":1,""actualProgress"":1,""deadline"":""2025-12-09T09:00:00.000Z"",""statsUpdatedAt"":""2025-12-08T17:58:51.080Z"",""estimatedMinutes"":240,""createdAt"":""2025-12-03T15:50:02.051Z"",""pace7d"":240,""assignedMinutes"":"""",""paceExp"":239.9,""spiAdj"":1,""spi"":1,""eacDate"":""2025-12-09"",""unallocatedMinutes"":"""",""actualLogs"":{""2025-12-09"":240},""riskLevel"":"""",""morningSummaryLastDate"":"""",""dailyPlanGeneratedAt"":"""",""actualTotalMinutes"":240,""completedAt"":""2025-12-08T17:42:30.680Z"",""idealProgress"":1,""requiredPaceAdj"":0,""dailyAssignments"":[],""requiredPace"":0,""lastProgressAt"":""2025-12-08T17:58:23.173Z"",""morningSummaryNotified"":false,""text"":""LinkedInラーニング"",""plannedStart"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spi7d"":1,""completed"":false,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""dailyProgress"":{},""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216},""morningSummaryNotifiedAt"":"""",""minutes"":240}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T18:01:38.809Z
todos/OBRscVWDrP6T2dgGwzRM/history/Gi3YxDvrThDTwHYUyCTd,Gi3YxDvrThDTwHYUyCTd,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""estimatedMinutes"":240,""idealProgress"":1,""completed"":false,""plannedStart"":"""",""actualProgress"":1,""requiredPaceAdj"":0,""actualTotalMinutes"":240,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spiExp"":1,""dailyAssignments"":[],""eacDate"":""2025-12-09"",""morningSummaryLastDate"":"""",""paceExp"":239.9,""spi7d"":1,""statsUpdatedAt"":""2025-12-08T17:19:51.893Z"",""assignedMinutes"":"""",""dailyProgress"":{},""riskLevel"":"""",""requiredPace"":0,""createdAt"":""2025-12-03T15:50:02.051Z"",""morningSummaryNotifiedAt"":"""",""deadline"":""2025-12-09T09:00:00.000Z"",""actualLogs"":{""2025-12-09"":240},""pace7d"":240,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""morningSummaryNotified"":false,""text"":""LinkedInラーニング"",""spi"":1,""lastProgressAt"":""2025-12-08T17:19:40.763Z"",""completedAt"":"""",""dailyPlanGeneratedAt"":"""",""unallocatedMinutes"":"""",""spiAdj"":1,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":216}}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""estimatedMinutes"":240,""idealProgress"":1,""completed"":true,""plannedStart"":"""",""actualProgress"":1,""requiredPaceAdj"":0,""actualTotalMinutes"":240,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spiExp"":1,""dailyAssignments"":[],""eacDate"":""2025-12-09"",""morningSummaryLastDate"":"""",""paceExp"":239.9,""spi7d"":1,""statsUpdatedAt"":""2025-12-08T17:19:51.893Z"",""assignedMinutes"":"""",""dailyProgress"":{},""riskLevel"":"""",""requiredPace"":0,""createdAt"":""2025-12-03T15:50:02.051Z"",""morningSummaryNotifiedAt"":"""",""deadline"":""2025-12-09T09:00:00.000Z"",""actualLogs"":{""2025-12-09"":240},""pace7d"":240,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""morningSummaryNotified"":false,""text"":""LinkedInラーニング"",""spi"":1,""lastProgressAt"":""2025-12-08T17:19:40.763Z"",""completedAt"":""2025-12-08T17:20:54.103Z"",""dailyPlanGeneratedAt"":"""",""unallocatedMinutes"":"""",""spiAdj"":1,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":216}}","[""completed"",""completedAt""]",undo-complete,2025-12-08T17:21:24.871Z
todos/OBRscVWDrP6T2dgGwzRM/history/KZIvkysGCgAARvNZ6hdC,KZIvkysGCgAARvNZ6hdC,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""spiAdj"":1,""actualTotalMinutes"":240,""morningSummaryNotifiedAt"":"""",""eacDate"":""2025-12-09"",""statsUpdatedAt"":""2025-12-08T17:31:34.412Z"",""text"":""LinkedInラーニング"",""pace7d"":240,""actualProgress"":1,""morningSummaryLastDate"":"""",""assignedMinutes"":"""",""assigned"":{""2025-12-08"":54,""2025-12-09"":216,""2025-12-05"":54},""unallocatedMinutes"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""riskLevel"":"""",""lastProgressAt"":""2025-12-08T17:31:16.496Z"",""dailyPlanGeneratedAt"":"""",""actualLogs"":{""2025-12-09"":240},""spi7d"":1,""createdAt"":""2025-12-03T15:50:02.051Z"",""spi"":1,""plannedStart"":"""",""dailyProgress"":{},""requiredPace"":0,""dailyAssignments"":[],""requiredPaceAdj"":0,""completed"":true,""morningSummaryNotified"":false,""estimatedMinutes"":240,""deadline"":""2025-12-09T09:00:00.000Z"",""spiExp"":1,""paceExp"":239.9,""idealProgress"":1,""completedAt"":""2025-12-08T17:31:41.687Z""}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""spiAdj"":1,""actualTotalMinutes"":240,""morningSummaryNotifiedAt"":"""",""eacDate"":""2025-12-09"",""statsUpdatedAt"":""2025-12-08T17:31:34.412Z"",""completedAt"":""2025-12-08T17:20:54.103Z"",""text"":""LinkedInラーニング"",""pace7d"":240,""actualProgress"":1,""morningSummaryLastDate"":"""",""assignedMinutes"":"""",""assigned"":{""2025-12-08"":54,""2025-12-09"":216,""2025-12-05"":54},""unallocatedMinutes"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""riskLevel"":"""",""lastProgressAt"":""2025-12-08T17:31:16.496Z"",""dailyPlanGeneratedAt"":"""",""actualLogs"":{""2025-12-09"":240},""spi7d"":1,""createdAt"":""2025-12-03T15:50:02.051Z"",""spi"":1,""plannedStart"":"""",""dailyProgress"":{},""requiredPace"":0,""dailyAssignments"":[],""requiredPaceAdj"":0,""completed"":false,""morningSummaryNotified"":false,""estimatedMinutes"":240,""deadline"":""2025-12-09T09:00:00.000Z"",""spiExp"":1,""paceExp"":239.9,""idealProgress"":1}","[""completed"",""completedAt"",""actualTotalMinutes"",""actualLogs.2025-12-09""]",complete-todo,2025-12-08T17:31:41.687Z
todos/OBRscVWDrP6T2dgGwzRM/history/PXDRidix241xi46n3rnl,PXDRidix241xi46n3rnl,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""morningSummaryNotifiedAt"":"""",""dailyAssignments"":[],""morningSummaryLastDate"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""eacDate"":""2025-12-10"",""idealProgress"":1,""spi7d"":1.67,""pace7d"":150,""spiAdj"":1.67,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spiExp"":1.67,""plannedStart"":"""",""assignedMinutes"":"""",""spi"":1.67,""unallocatedMinutes"":"""",""riskLevel"":""late"",""requiredPaceAdj"":90,""dailyPlanGeneratedAt"":"""",""completedAt"":""2025-12-08T17:42:30.680Z"",""deadline"":""2025-12-09T09:00:00.000Z"",""lastProgressAt"":""2025-12-08T18:29:36.972Z"",""requiredPace"":90,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""morningSummaryNotified"":false,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":90},""dailyProgress"":{},""paceExp"":149.9,""actualProgress"":0.63,""statsUpdatedAt"":""2025-12-08T19:20:17.651Z"",""estimatedMinutes"":240,""completed"":false,""actualLogs"":{""2025-12-09"":0},""actualTotalMinutes"":0,""text"":""LinkedInラーニング"",""minutes"":150}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""morningSummaryNotifiedAt"":"""",""dailyAssignments"":[],""morningSummaryLastDate"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""eacDate"":""2025-12-10"",""idealProgress"":1,""spi7d"":1.67,""pace7d"":150,""spiAdj"":1.67,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spiExp"":1.67,""plannedStart"":"""",""assignedMinutes"":"""",""spi"":1.67,""unallocatedMinutes"":"""",""riskLevel"":""late"",""requiredPaceAdj"":90,""dailyPlanGeneratedAt"":"""",""completedAt"":""2025-12-08T17:42:30.680Z"",""deadline"":""2025-12-09T09:00:00.000Z"",""lastProgressAt"":""2025-12-08T18:29:36.972Z"",""requiredPace"":90,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""morningSummaryNotified"":false,""assigned"":{""2025-12-08"":54,""2025-12-05"":54,""2025-12-09"":90},""dailyProgress"":{},""paceExp"":149.9,""actualProgress"":0.63,""statsUpdatedAt"":""2025-12-08T19:20:17.651Z"",""estimatedMinutes"":240,""completed"":false,""actualLogs"":{""2025-12-09"":150},""actualTotalMinutes"":150,""text"":""LinkedInラーニング"",""minutes"":150}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T20:11:32.446Z
todos/OBRscVWDrP6T2dgGwzRM/history/m5HACPu3CuS76ytwQ4mY,m5HACPu3CuS76ytwQ4mY,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spi7d"":0,""requiredPace"":240,""actualLogs"":{""2025-12-09"":240},""spiAdj"":0,""text"":""LinkedInラーニング"",""deadline"":""2025-12-09T09:00:00.000Z"",""actualTotalMinutes"":240,""lastProgressAt"":""2025-12-08T17:34:03.326Z"",""requiredPaceAdj"":216,""spiExp"":0,""morningSummaryLastDate"":"""",""actualProgress"":0,""riskLevel"":""warn"",""spi"":0,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""completed"":true,""pace7d"":0,""dailyAssignments"":[],""idealProgress"":1,""morningSummaryNotified"":false,""eacDate"":"""",""morningSummaryNotifiedAt"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""dailyProgress"":{},""plannedStart"":"""",""statsUpdatedAt"":""2025-12-08T17:36:30.846Z"",""assignedMinutes"":"""",""estimatedMinutes"":240,""assigned"":{""2025-12-05"":54,""2025-12-09"":216,""2025-12-08"":54},""paceExp"":0.1,""unallocatedMinutes"":"""",""completedAt"":""2025-12-08T17:42:30.728Z""}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""dailyPlanGeneratedAt"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""spi7d"":0,""requiredPace"":240,""actualLogs"":{""2025-12-09"":0},""spiAdj"":0,""text"":""LinkedInラーニング"",""deadline"":""2025-12-09T09:00:00.000Z"",""actualTotalMinutes"":0,""completedAt"":""2025-12-08T17:31:41.628Z"",""lastProgressAt"":""2025-12-08T17:34:03.326Z"",""requiredPaceAdj"":216,""spiExp"":0,""morningSummaryLastDate"":"""",""actualProgress"":0,""riskLevel"":""warn"",""spi"":0,""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""completed"":false,""pace7d"":0,""dailyAssignments"":[],""idealProgress"":1,""morningSummaryNotified"":false,""eacDate"":"""",""morningSummaryNotifiedAt"":"""",""createdAt"":""2025-12-03T15:50:02.051Z"",""dailyProgress"":{},""plannedStart"":"""",""statsUpdatedAt"":""2025-12-08T17:36:30.846Z"",""assignedMinutes"":"""",""estimatedMinutes"":240,""assigned"":{""2025-12-05"":54,""2025-12-09"":216,""2025-12-08"":54},""paceExp"":0.1,""unallocatedMinutes"":""""}","[""actualTotalMinutes"",""actualLogs.2025-12-09"",""completed"",""completedAt""]",log-editor-complete,2025-12-08T17:42:30.728Z
todos/OBRscVWDrP6T2dgGwzRM/history/mEBcB7XFVLVayfJLnrDY,mEBcB7XFVLVayfJLnrDY,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""deadline"":""2025-12-09T09:00:00.000Z"",""riskLevel"":""late"",""requiredPaceAdj"":90,""actualProgress"":0.63,""dailyProgress"":{},""spi"":1.67,""actualTotalMinutes"":0,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""plannedStart"":"""",""dailyAssignments"":[],""paceExp"":149.9,""createdAt"":""2025-12-03T15:50:02.051Z"",""actualLogs"":{""2025-12-09"":0},""morningSummaryLastDate"":"""",""completed"":false,""idealProgress"":1,""statsUpdatedAt"":""2025-12-08T20:13:34.588Z"",""requiredPace"":90,""unallocatedMinutes"":"""",""estimatedMinutes"":240,""pace7d"":150,""dailyPlanGeneratedAt"":"""",""morningSummaryNotified"":false,""morningSummaryNotifiedAt"":"""",""spiAdj"":1.67,""assignedMinutes"":"""",""completedAt"":""2025-12-08T17:42:30.680Z"",""spi7d"":1.67,""eacDate"":""2025-12-10"",""lastProgressAt"":""2025-12-08T20:13:24.267Z"",""spiExp"":1.67,""text"":""LinkedInラーニング"",""assigned"":{""2025-12-05"":54,""2025-12-09"":90,""2025-12-08"":54},""minutes"":150}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""deadline"":""2025-12-09T09:00:00.000Z"",""riskLevel"":""late"",""requiredPaceAdj"":90,""actualProgress"":0.63,""dailyProgress"":{},""spi"":1.67,""actualTotalMinutes"":150,""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""plannedStart"":"""",""dailyAssignments"":[],""paceExp"":149.9,""createdAt"":""2025-12-03T15:50:02.051Z"",""actualLogs"":{""2025-12-09"":150},""morningSummaryLastDate"":"""",""completed"":false,""idealProgress"":1,""statsUpdatedAt"":""2025-12-08T20:13:34.588Z"",""requiredPace"":90,""unallocatedMinutes"":"""",""estimatedMinutes"":240,""pace7d"":150,""dailyPlanGeneratedAt"":"""",""morningSummaryNotified"":false,""morningSummaryNotifiedAt"":"""",""spiAdj"":1.67,""assignedMinutes"":"""",""completedAt"":""2025-12-08T17:42:30.680Z"",""spi7d"":1.67,""eacDate"":""2025-12-10"",""lastProgressAt"":""2025-12-08T20:13:24.267Z"",""spiExp"":1.67,""text"":""LinkedInラーニング"",""assigned"":{""2025-12-05"":54,""2025-12-09"":90,""2025-12-08"":54},""minutes"":150}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T20:18:23.683Z
todos/OBRscVWDrP6T2dgGwzRM/history/s8IyO2HCPCs19Gzo8VbJ,s8IyO2HCPCs19Gzo8VbJ,"{""id"":""OBRscVWDrP6T2dgGwzRM"",""actualTotalMinutes"":0,""pace7d"":100,""spiExp"":0.71,""dailyProgress"":{},""morningSummaryNotified"":false,""dailyPlanGeneratedAt"":"""",""assignedMinutes"":"""",""unallocatedMinutes"":"""",""idealProgress"":1,""spi7d"":0.71,""createdAt"":""2025-12-03T15:50:02.051Z"",""actualProgress"":0.42,""eacDate"":""2025-12-11"",""actualLogs"":{""2025-12-09"":0},""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""estimatedMinutes"":240,""morningSummaryNotifiedAt"":"""",""plannedStart"":"""",""paceExp"":100.1,""morningSummaryLastDate"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""statsUpdatedAt"":""2025-12-08T18:01:51.436Z"",""text"":""LinkedInラーニング"",""deadline"":""2025-12-09T09:00:00.000Z"",""riskLevel"":""late"",""spi"":0.71,""lastProgressAt"":""2025-12-08T17:58:23.173Z"",""completedAt"":""2025-12-08T17:42:30.680Z"",""requiredPace"":140,""spiAdj"":0.79,""requiredPaceAdj"":126,""completed"":false,""dailyAssignments"":[],""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216}}","{""id"":""OBRscVWDrP6T2dgGwzRM"",""actualTotalMinutes"":100,""pace7d"":100,""spiExp"":0.71,""dailyProgress"":{},""morningSummaryNotified"":false,""dailyPlanGeneratedAt"":"""",""assignedMinutes"":"""",""unallocatedMinutes"":"""",""idealProgress"":1,""spi7d"":0.71,""createdAt"":""2025-12-03T15:50:02.051Z"",""actualProgress"":0.42,""eacDate"":""2025-12-11"",""actualLogs"":{""2025-12-09"":100},""userId"":""DgApBqtxpeVE5G5MnIVw9ThpyN93"",""estimatedMinutes"":240,""morningSummaryNotifiedAt"":"""",""plannedStart"":"""",""paceExp"":100.1,""morningSummaryLastDate"":"""",""labelId"":""RLnNEFsoMnBYIYCjMsEJ"",""statsUpdatedAt"":""2025-12-08T18:01:51.436Z"",""text"":""LinkedInラーニング"",""deadline"":""2025-12-09T09:00:00.000Z"",""riskLevel"":""late"",""spi"":0.71,""lastProgressAt"":""2025-12-08T17:58:23.173Z"",""completedAt"":""2025-12-08T17:42:30.680Z"",""requiredPace"":140,""spiAdj"":0.79,""requiredPaceAdj"":126,""completed"":false,""dailyAssignments"":[],""assigned"":{""2025-12-05"":54,""2025-12-08"":54,""2025-12-09"":216}}","[""actualTotalMinutes"",""actualLogs.2025-12-09""]",log-editor-update,2025-12-08T18:28:33.559Z
