__docPath,__docId,createdAt,date,minutes,source,trigger
todos/RzRotmx1X9OzjqCFdaCU/sessions/2d8RgPvRtrXZZZA795T3,2d8RgPvRtrXZZZA795T3,2025-12-10T12:02:23.299Z,2025-12-10,60,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/8U9dA7ekjWdsrxH6Qnzu,8U9dA7ekjWdsrxH6Qnzu,2025-11-25T09:24:31.205Z,2025-11-25,30,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/9MRyq01xWb3arIMYTT2n,9MRyq01xWb3arIMYTT2n,2025-11-30T01:45:38.299Z,2025-11-30,10,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/9y9RfsBvARyYm1tnLdll,9y9RfsBvARyYm1tnLdll,2025-11-30T03:00:04.746Z,2025-11-30,30,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/E3WsfmrYj3KI2rz5uz1d,E3WsfmrYj3KI2rz5uz1d,2025-11-28T08:06:01.273Z,2025-11-28,13,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/LSn9eEvpV7MVSjoIclJi,LSn9eEvpV7MVSjoIclJi,2025-12-07T00:56:06.807Z,2025-12-07,10,manual,manual
todos/RzRotmx1X9OzjqCFdaCU/sessions/MlRzfjLY3QoMdMuBsCig,MlRzfjLY3QoMdMuBsCig,2025-11-28T07:20:01.627Z,2025-11-28,15,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/Owfs34IrHQ63O67WDoqQ,Owfs34IrHQ63O67WDoqQ,2025-12-01T02:56:55.742Z,2025-12-01,60,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/PJSoWKo8LuAYT9huStuM,PJSoWKo8LuAYT9huStuM,2025-12-05T00:47:08.834Z,2025-12-05,1,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/QY9uGPK3dBhUpWDTD1lZ,QY9uGPK3dBhUpWDTD1lZ,2025-11-24T04:35:47.269Z,2025-11-24,90,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/XnjkNI2FbEHn0WyG4t9T,XnjkNI2FbEHn0WyG4t9T,2025-11-29T06:20:00.610Z,2025-11-29,30,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/f1wGdiQAkrqcSypfjIeK,f1wGdiQAkrqcSypfjIeK,2025-11-28T23:53:58.362Z,2025-11-29,5,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/xw0ZoNVV6r585t85ysQZ,xw0ZoNVV6r585t85ysQZ,2025-12-07T00:55:10.828Z,2025-12-07,10,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/yigPXUItiVqDwknSPMw7,yigPXUItiVqDwknSPMw7,2025-12-10T07:12:48.059Z,2025-12-10,60,manual,list
todos/RzRotmx1X9OzjqCFdaCU/sessions/yxNjUzsxIKVn3x769J3m,yxNjUzsxIKVn3x769J3m,2025-12-14T05:59:30.813Z,2025-12-14,30,manual,list
