__docPath,__docId,createdAt,date,minutes,source,trigger
todos/yFII5G1f8Yf47CTrPlWC/sessions/3oERjTr80r8CZIPqpD2K,3oERjTr80r8CZIPqpD2K,2025-11-07T12:39:17.788Z,2025-11-07,360,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/64QeX20lYJPdO33Z3YQo,64QeX20lYJPdO33Z3YQo,2025-11-17T08:43:49.993Z,2025-11-11,0,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/9PCado8M9Qg83SqjiaJf,9PCado8M9Qg83SqjiaJf,2025-10-28T04:34:26.510Z,2025-10-27,240,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/A8hfOPOmdfbHwJ0IT3aI,A8hfOPOmdfbHwJ0IT3aI,2025-11-18T03:57:34.542Z,2025-11-11,0,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/BgF0BxAQhvHIrc9j5hs9,BgF0BxAQhvHIrc9j5hs9,2025-11-17T08:59:30.981Z,2025-11-11,0,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/BleNp8QjnGDKR6T1ff87,BleNp8QjnGDKR6T1ff87,2025-11-05T14:54:39.743Z,2025-11-05,300,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/ITmFlNduTvaAmBtSaCY2,ITmFlNduTvaAmBtSaCY2,2025-12-14T19:43:31.738Z,2025-12-15,15,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/LQuMO4UQfWJ0DXsAIfLF,LQuMO4UQfWJ0DXsAIfLF,2025-11-25T05:05:01.663Z,2025-11-25,60,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/NHMDFWkBv16fr7L7gG9f,NHMDFWkBv16fr7L7gG9f,2025-11-20T09:58:08.819Z,2025-11-20,240,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/UqSVC72yogrLJwYJC0jc,UqSVC72yogrLJwYJC0jc,2025-11-17T08:26:56.297Z,2025-11-11,30,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/WmXWFNa7M8wuFPgNVagv,WmXWFNa7M8wuFPgNVagv,2025-11-27T16:37:10.701Z,2025-11-26,90,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/Z3bofRNwD1xzoBbaXFsS,Z3bofRNwD1xzoBbaXFsS,2025-11-27T16:05:46.651Z,2025-11-28,30,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/Z48ZCxUFck69f73chYx2,Z48ZCxUFck69f73chYx2,2025-11-17T08:44:20.947Z,2025-11-11,30,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/ZvWphDTUh2SdUebCvo2U,ZvWphDTUh2SdUebCvo2U,2025-11-18T03:57:50.922Z,2025-11-11,30,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/aCMWJNL2kGx35t3Is5Ds,aCMWJNL2kGx35t3Is5Ds,2025-12-03T16:41:33.544Z,2025-12-04,60,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/aOBO1aRHRWEtHzLgkBcD,aOBO1aRHRWEtHzLgkBcD,2025-11-07T09:50:44.655Z,2025-11-07,180,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/bLD9m6tHGewXGOe6bgw8,bLD9m6tHGewXGOe6bgw8,2025-11-27T15:42:31.595Z,2025-11-28,60,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/cTIlg75qqsHZ09WO4koz,cTIlg75qqsHZ09WO4koz,2025-12-08T20:11:49.349Z,2025-12-09,0,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/csZjzys9E2P5g0ejMCk7,csZjzys9E2P5g0ejMCk7,2025-10-24T11:59:21.007Z,2025-10-24,330,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/iFaxl1nKhtKjN8k9FrcT,iFaxl1nKhtKjN8k9FrcT,2025-12-08T19:54:22.804Z,2025-12-09,60,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/qM60pdVqCgMVGrGGy9q7,qM60pdVqCgMVGrGGy9q7,2025-10-24T10:54:21.204Z,2025-10-24,300,manual,manual
todos/yFII5G1f8Yf47CTrPlWC/sessions/tBYXhwPowUwW49CXAsVo,tBYXhwPowUwW49CXAsVo,2025-11-17T05:08:15.838Z,2025-11-16,120,manual,log-editor
todos/yFII5G1f8Yf47CTrPlWC/sessions/wWpyBAsS6rIW1KSfNl7i,wWpyBAsS6rIW1KSfNl7i,2025-11-03T20:45:03.668Z,2025-11-04,240,manual,list
