__docPath,__docId,evm,notifications.sent.morning,notifications.sent.morningSummary,notifications.sent.progress,notifications.sent.progressReminder,updatedAt
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-07,2025-10-07,,,1,,1,2025-10-07T12:05:07.585Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-08,2025-10-08,,,1,,1,2025-10-08T12:05:03.216Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-09,2025-10-09,,,1,,1,2025-10-09T12:05:02.417Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-10,2025-10-10,,,1,,1,2025-10-10T12:05:02.747Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-11,2025-10-11,,,1,,1,2025-10-11T12:05:03.007Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-12,2025-10-12,"{""riskLevel"":""late"",""eacDate"":""2025-10-18"",""spi"":0.2}",1,,1,,2025-10-12T14:12:10.133Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-13,2025-10-13,"{""riskLevel"":""warn"",""spi"":0,""eacDate"":""166300-03-16""}",1,,1,,2025-10-13T12:05:03.095Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-14,2025-10-14,"{""riskLevel"":""warn"",""spi"":0,""eacDate"":""166300-03-17""}",1,,1,,2025-10-14T12:05:04.231Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-15,2025-10-15,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":""84162-12-31"",""idealProgress"":0.75,""spi"":0}",1,,1,,2025-10-15T12:05:08.309Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-16,2025-10-16,"{""actualProgress"":0,""riskLevel"":""warn"",""idealProgress"":1,""spi"":0,""eacDate"":""84163-01-01""}",,,1,,2025-10-16T12:19:38.028Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-17,2025-10-17,"{""actualProgress"":0,""riskLevel"":""warn"",""idealProgress"":1,""spi"":0,""eacDate"":""84163-01-02""}",1,,1,,2025-10-17T08:48:28.079Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-18,2025-10-18,"{""actualProgress"":0,""riskLevel"":""warn"",""idealProgress"":1,""spi"":0,""eacDate"":""166300-03-21""}",1,,1,,2025-10-18T01:00:02.235Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-19,2025-10-19,,1,,1,,2025-10-19T01:00:02.556Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-20,2025-10-20,"{""actualProgress"":0.01,""riskLevel"":""warn"",""eacDate"":""2026-05-07"",""idealProgress"":0.1,""spi"":0.37}",1,,1,,2025-10-20T01:00:06.654Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-21,2025-10-21,"{""actualProgress"":1,""riskLevel"":""ok"",""eacDate"":""2025-10-21"",""spi"":1,""idealProgress"":1}",1,,1,,2025-10-21T04:18:21.524Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-22,2025-10-22,,1,,1,,2025-10-22T01:00:01.982Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-23,2025-10-23,,1,,1,,2025-10-23T01:00:06.341Z
users/DgApBqtxpeVE5G5MnIVw9ThpyN93/metrics/2025-10-24,2025-10-24,"{""riskLevel"":""ok"",""idealProgress"":0.01,""actualProgress"":0.06,""eacDate"":""2025-11-11"",""spi"":3.96}",1,,1,,2025-10-24T11:59:49.444Z
