__docPath,__docId,evm,notifications.sent.morning,notifications.sent.progress,updatedAt
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-13,2025-10-13,"{""riskLevel"":""warn"",""eacDate"":""248437-05-31"",""spi"":0}",,,2025-10-13T03:44:45.952Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-15,2025-10-15,"{""riskLevel"":""warn"",""eacDate"":""248437-06-02"",""spi"":0}",,,2025-10-15T01:17:17.328Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-16,2025-10-16,"{""actualProgress"":1,""riskLevel"":""ok"",""eacDate"":""2025-10-16"",""idealProgress"":1,""spi"":1}",,,2025-10-16T02:06:05.441Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-20,2025-10-20,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":""84163-01-05"",""idealProgress"":0.33,""spi"":0}",,,2025-10-20T08:54:37.241Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-21,2025-10-21,"{""riskLevel"":""warn"",""idealProgress"":1,""actualProgress"":0.56,""eacDate"":""2025-10-22"",""spi"":1.25}",,,2025-10-21T07:35:49.088Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-22,2025-10-22,"{""actualProgress"":0.33,""riskLevel"":""ok"",""eacDate"":""2025-10-24"",""idealProgress"":0.81,""spi"":3}",,,2025-10-22T08:33:05.242Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-23,2025-10-23,"{""actualProgress"":1,""riskLevel"":""ok"",""eacDate"":""2025-10-23"",""idealProgress"":0.64,""spi"":1}",,,2025-10-23T02:46:46.990Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-10-28,2025-10-28,"{""actualProgress"":1,""riskLevel"":""ok"",""eacDate"":""2025-10-28"",""idealProgress"":1,""spi"":1}",,,2025-10-28T05:02:59.292Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-06,2025-11-06,"{""actualProgress"":1,""riskLevel"":""ok"",""eacDate"":""2025-11-06"",""idealProgress"":1,""spi"":1}",,,2025-11-06T01:31:19.654Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-12,2025-11-12,"{""idealProgress"":0.5,""actualProgress"":0.78,""riskLevel"":""ok"",""eacDate"":""2025-11-13"",""spi"":7}",,,2025-11-12T04:46:59.888Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-14,2025-11-14,"{""actualProgress"":0,""riskLevel"":""late"",""eacDate"":""84163-01-30"",""idealProgress"":0.14,""spi"":0}",,,2025-11-14T09:30:00.698Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-17,2025-11-17,"{""actualProgress"":0,""riskLevel"":""late"",""spi"":0,""eacDate"":""248437-07-05"",""idealProgress"":1}",2,1,2025-11-17T12:00:08.694Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-18,2025-11-18,"{""actualProgress"":0,""riskLevel"":""late"",""eacDate"":""248437-07-06"",""idealProgress"":1,""spi"":0}",1,1,2025-11-18T12:00:06.739Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-19,2025-11-19,"{""actualProgress"":0.5,""riskLevel"":""ok"",""eacDate"":""2025-11-20"",""idealProgress"":0.1,""spi"":10}",1,1,2025-11-19T12:00:03.034Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-20,2025-11-20,"{""idealProgress"":0.38,""riskLevel"":""ok"",""actualProgress"":0.5,""eacDate"":""2025-11-21"",""spi"":5}",1,1,2025-11-20T12:00:06.654Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-21,2025-11-21,"{""actualProgress"":0,""riskLevel"":""late"",""eacDate"":""248437-07-09"",""idealProgress"":1,""spi"":0}",1,1,2025-11-21T12:00:02.904Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-22,2025-11-22,"{""actualProgress"":0,""riskLevel"":""late"",""eacDate"":""248437-07-10"",""idealProgress"":1,""spi"":0}",1,1,2025-11-22T12:00:03.061Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-23,2025-11-23,"{""actualProgress"":0,""riskLevel"":""late"",""eacDate"":""248437-07-11"",""idealProgress"":1,""spi"":0}",1,1,2025-11-23T12:00:02.784Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-24,2025-11-24,"{""riskLevel"":""ok"",""actualProgress"":0.13,""eacDate"":""2025-12-01"",""idealProgress"":0.16,""spi"":3.86}",1,1,2025-11-24T12:00:03.002Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-25,2025-11-25,"{""riskLevel"":""ok"",""idealProgress"":0.19,""actualProgress"":0.17,""eacDate"":""2025-12-05"",""spi"":2.5}",1,1,2025-11-25T12:00:02.399Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-26,2025-11-26,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.33,""spi"":0}",1,1,2025-11-26T12:00:02.991Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-27,2025-11-27,"{""spi"":1,""actualProgress"":1,""riskLevel"":"""",""eacDate"":""2025-11-27"",""idealProgress"":0.06}",1,1,2025-11-27T12:00:03.010Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-28,2025-11-28,"{""riskLevel"":""late"",""idealProgress"":0.29,""actualProgress"":0.21,""eacDate"":""2025-12-26"",""spi"":0.85}",1,1,2025-11-28T12:00:07.038Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-29,2025-11-29,"{""actualProgress"":0.25,""riskLevel"":""ok"",""eacDate"":""2025-12-20"",""idealProgress"":0.29,""spi"":1.07}",1,1,2025-11-29T12:00:02.528Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-11-30,2025-11-30,"{""actualProgress"":0.31,""riskLevel"":""ok"",""eacDate"":""2025-12-16"",""idealProgress"":0.32,""spi"":1.35}",1,1,2025-11-30T12:00:05.082Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-01,2025-12-01,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.5,""spi"":0}",1,1,2025-12-01T12:00:02.410Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-02,2025-12-02,"{""actualProgress"":0.39,""riskLevel"":""late"",""eacDate"":""2025-12-21"",""idealProgress"":0.42,""spi"":1.01}",1,1,2025-12-02T12:00:02.609Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-03,2025-12-03,"{""actualProgress"":0.28,""riskLevel"":""ok"",""eacDate"":""2025-12-10"",""idealProgress"":0.32,""spi"":2.77}",1,1,2025-12-03T12:00:05.132Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-04,2025-12-04,"{""actualProgress"":0.39,""riskLevel"":""late"",""eacDate"":""2025-12-23"",""idealProgress"":0.48,""spi"":0.91}",1,1,2025-12-04T12:00:03.314Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-05,2025-12-05,"{""actualProgress"":0.39,""riskLevel"":""late"",""eacDate"":""2025-12-28"",""idealProgress"":0.48,""spi"":0.71}",1,1,2025-12-05T12:00:03.440Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-06,2025-12-06,"{""actualProgress"":1,""riskLevel"":"""",""eacDate"":""2025-12-06"",""idealProgress"":1,""spi"":1}",1,1,2025-12-06T12:00:04.819Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-07,2025-12-07,"{""riskLevel"":""late"",""idealProgress"":0.55,""actualProgress"":0.42,""eacDate"":""2026-01-12"",""spi"":0.39}",1,1,2025-12-07T12:00:02.658Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-08,2025-12-08,"{""eacDate"":"""",""spi"":0,""riskLevel"":""warn"",""actualProgress"":0,""idealProgress"":0.42}",1,1,2025-12-08T12:00:02.928Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-09,2025-12-09,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""idealProgress"":0.07,""spi"":0}",1,1,2025-12-09T12:00:04.471Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-10,2025-12-10,"{""actualProgress"":0.59,""riskLevel"":""late"",""eacDate"":""2025-12-25"",""idealProgress"":0.68,""spi"":0.68}",1,1,2025-12-10T12:02:49.955Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-11,2025-12-11,,1,1,2025-12-11T12:00:03.030Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-12,2025-12-12,"{""actualProgress"":0.11,""riskLevel"":""late"",""eacDate"":""2025-12-20"",""idealProgress"":0.2,""spi"":1}",1,1,2025-12-12T12:00:02.985Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-13,2025-12-13,,1,1,2025-12-13T12:00:02.903Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-14,2025-12-14,"{""riskLevel"":""ok"",""actualProgress"":0.63,""eacDate"":""2025-12-18"",""idealProgress"":0.77,""spi"":1.97}",1,1,2025-12-14T12:00:06.297Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-15,2025-12-15,"{""riskLevel"":""late"",""idealProgress"":0.74,""actualProgress"":0.21,""eacDate"":""2025-12-23"",""spi"":0.66}",1,1,2025-12-15T12:00:02.631Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-16,2025-12-16,"{""riskLevel"":""ok"",""idealProgress"":0.53,""actualProgress"":0.28,""eacDate"":""2025-12-22"",""spi"":1.54}",1,1,2025-12-16T12:00:06.387Z
users/Z9IYVixbY7QYdNBlmHkyIUEXMAI2/metrics/2025-12-17,2025-12-17,"{""actualProgress"":1,""riskLevel"":"""",""eacDate"":""2025-12-17"",""idealProgress"":1,""spi"":1}",1,1,2025-12-17T12:00:02.809Z
