__docPath,__docId,evm,notifications.sent.progress,updatedAt
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-17,2025-11-17,,4,2025-11-17T09:16:02.906Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-18,2025-11-18,,1,2025-11-18T09:16:06.865Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-19,2025-11-19,,1,2025-11-19T09:16:08.473Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-20,2025-11-20,,1,2025-11-20T09:16:04.809Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-21,2025-11-21,,1,2025-11-21T09:16:02.753Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-22,2025-11-22,,1,2025-11-22T09:16:07.965Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-23,2025-11-23,,1,2025-11-23T09:16:02.154Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-24,2025-11-24,,1,2025-11-24T09:16:03.220Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-25,2025-11-25,,1,2025-11-25T09:16:02.711Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-26,2025-11-26,,1,2025-11-26T09:16:02.031Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-27,2025-11-27,,1,2025-11-27T09:16:03.257Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-28,2025-11-28,,1,2025-11-28T09:16:02.663Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-29,2025-11-29,,1,2025-11-29T09:16:06.703Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-11-30,2025-11-30,,1,2025-11-30T09:16:02.938Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-01,2025-12-01,"{""actualProgress"":0.5,""riskLevel"":""ok"",""eacDate"":""2025-12-02"",""idealProgress"":1,""spi"":1}",1,2025-12-01T09:16:06.737Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-02,2025-12-02,"{""actualProgress"":0,""riskLevel"":""warn"",""eacDate"":"""",""spi"":0,""idealProgress"":0.06}",1,2025-12-02T09:28:29.389Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-03,2025-12-03,,1,2025-12-03T09:16:02.905Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-04,2025-12-04,,1,2025-12-04T09:16:03.088Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-05,2025-12-05,,1,2025-12-05T09:16:03.276Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-06,2025-12-06,,1,2025-12-06T09:16:04.811Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-07,2025-12-07,,1,2025-12-07T09:16:02.663Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-08,2025-12-08,,1,2025-12-08T09:16:03.197Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-09,2025-12-09,,1,2025-12-09T09:16:03.352Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-10,2025-12-10,,1,2025-12-10T09:16:03.223Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-11,2025-12-11,,1,2025-12-11T09:16:02.782Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-12,2025-12-12,,1,2025-12-12T09:16:02.611Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-13,2025-12-13,,1,2025-12-13T09:16:02.595Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-14,2025-12-14,,1,2025-12-14T09:16:04.616Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-15,2025-12-15,,1,2025-12-15T09:16:02.574Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-16,2025-12-16,,1,2025-12-16T09:16:07.398Z
users/fPbo8M5sYpP78kgIe8EzCDRC7LI2/metrics/2025-12-17,2025-12-17,,1,2025-12-17T09:16:07.099Z
