__docPath,__docId,notifications.sent.morning,notifications.sent.progress,updatedAt
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-12,2025-11-12,1,1,2025-11-12T12:00:03.521Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-13,2025-11-13,1,1,2025-11-13T12:00:09.888Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-14,2025-11-14,1,1,2025-11-14T12:00:03.027Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-15,2025-11-15,1,1,2025-11-15T12:00:06.948Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-16,2025-11-16,1,1,2025-11-16T12:00:03.312Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-17,2025-11-17,1,1,2025-11-17T12:00:09.893Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-18,2025-11-18,,1,2025-11-18T12:00:07.722Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-19,2025-11-19,,1,2025-11-19T12:00:03.757Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-20,2025-11-20,,1,2025-11-20T12:00:07.394Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-21,2025-11-21,,1,2025-11-21T12:00:03.699Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-22,2025-11-22,,1,2025-11-22T12:00:03.835Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-23,2025-11-23,,1,2025-11-23T12:00:03.595Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-24,2025-11-24,,1,2025-11-24T12:00:03.829Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-25,2025-11-25,,1,2025-11-25T12:00:03.164Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-26,2025-11-26,,1,2025-11-26T12:00:03.745Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-27,2025-11-27,,1,2025-11-27T12:00:03.815Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-28,2025-11-28,,1,2025-11-28T12:00:07.788Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-29,2025-11-29,,1,2025-11-29T12:00:03.316Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-11-30,2025-11-30,,1,2025-11-30T12:00:06.655Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-01,2025-12-01,,1,2025-12-01T12:00:03.125Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-02,2025-12-02,,1,2025-12-02T12:00:03.367Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-03,2025-12-03,,1,2025-12-03T12:00:05.911Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-04,2025-12-04,,1,2025-12-04T12:00:04.119Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-05,2025-12-05,,1,2025-12-05T12:00:04.259Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-06,2025-12-06,,1,2025-12-06T12:00:06.191Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-07,2025-12-07,,1,2025-12-07T12:00:03.518Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-08,2025-12-08,,1,2025-12-08T12:00:03.672Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-09,2025-12-09,,1,2025-12-09T12:00:05.868Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-10,2025-12-10,,1,2025-12-10T12:00:03.215Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-11,2025-12-11,,1,2025-12-11T12:00:03.798Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-12,2025-12-12,,1,2025-12-12T12:00:03.766Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-13,2025-12-13,,1,2025-12-13T12:00:03.434Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-14,2025-12-14,,1,2025-12-14T12:00:07.032Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-15,2025-12-15,,1,2025-12-15T12:00:03.406Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-16,2025-12-16,,1,2025-12-16T12:00:07.157Z
users/rUx0FYRn4VVVBGlZrlImHcqxql83/metrics/2025-12-17,2025-12-17,,1,2025-12-17T12:00:03.622Z
