userId,date,todoId,plannedMinutes,capMinutes,totalPlannedMinutes,spi,eacDate,riskLevel,idealProgress,actualProgress,deadline,deadlineDate,statsUpdatedAt,statsUpdatedDate,planUpdatedAt
AJEH3V05QuRj9WkQva2LM8EO3vt2,2025-12-25,coQ7j50RsA9aYNNSHzXI,60,120,60,3,2025-12-27,ok,0.17,0.33,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-25T13:22:07.428Z,2025-12-25,2025-12-25T13:21:19.998Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-16,OBRscVWDrP6T2dgGwzRM,135,300,300,0,,late,1,0.38,2025-12-09T09:00:00.000Z,2025-12-09,2025-12-16T05:24:42.160Z,2025-12-16,2025-12-16T05:24:38.196Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-16,yFII5G1f8Yf47CTrPlWC,165,300,300,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-16T05:24:38.196Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-17,OBRscVWDrP6T2dgGwzRM,135,300,300,0,,late,1,0.38,2025-12-09T09:00:00.000Z,2025-12-09,2025-12-16T05:24:42.160Z,2025-12-16,2025-12-17T09:11:35.317Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-17,yFII5G1f8Yf47CTrPlWC,165,300,300,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-17T09:11:35.317Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-18,yFII5G1f8Yf47CTrPlWC,77,300,77,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-18T07:13:33.332Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-19,yFII5G1f8Yf47CTrPlWC,78,300,81,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-19T01:05:08.535Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-19,15o0rm4pJCgfVjP6jpy1,3,300,81,2.39,2026-01-29,ok,0.06,0.16,2026-03-20T09:00:00.000Z,2026-03-20,2025-12-23T02:46:02.657Z,2025-12-23,2025-12-19T01:05:08.535Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-20,yFII5G1f8Yf47CTrPlWC,79,300,79,0.21,2026-07-11,late,0.63,0.39,2026-01-31T09:00:00.000Z,2026-01-31,2025-12-26T02:36:54.363Z,2025-12-26,2025-12-20T03:02:05.703Z
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-21,ZlWil5p9azRqUuuaB3Ao,181,300,300,1.26,2025-12-31,ok,0.58,0.69,2025-12-31T09:00:00.000Z,2025-12-31,2025-12-26T02:36:57.031Z,2025-12-26,2025-12-21T11:47:15.966Z
